Phase,FPS_Inst,Latence_ms,Temp_C,Power_Soft_W,Power_Manual_W
TEST,1.9,515.66,82.8,0,5.57
TEST,1.9,520.07,82.3,0,5.57
TEST,1.9,514.25,82.8,0,5.57
TEST,1.9,522.54,82.3,0,5.57
TEST,1.9,515.04,82.3,0,5.57
TEST,1.9,520.39,81.8,0,5.57
TEST,1.9,513.38,82.3,0,5.57
TEST,2.0,506.03,82.8,0,5.57
TEST,1.9,514.7,82.8,0,5.57
TEST,1.9,518.87,83.3,0,5.57
TEST,1.9,520.93,82.3,0,5.57
TEST,1.9,514.84,81.8,0,5.57
TEST,2.0,509.42,82.8,0,5.57
TEST,1.9,524.33,82.3,0,5.57
TEST,1.9,517.08,81.8,0,5.57
TEST,1.9,517.06,82.3,0,5.57
TEST,1.9,522.96,82.3,0,5.57
TEST,1.9,518.01,82.8,0,5.57
TEST,1.9,514.85,82.3,0,5.57
TEST,1.9,527.57,81.3,0,5.57
TEST,1.9,515.32,81.8,0,5.57
TEST,1.9,519.42,82.3,0,5.57
TEST,1.9,515.02,82.3,0,5.57
TEST,1.9,516.27,83.3,0,5.57
TEST,1.9,512.91,82.3,0,5.57
TEST,1.9,520.22,82.8,0,5.57
TEST,1.9,526.58,82.8,0,5.57
TEST,1.9,517.18,82.8,0,5.57
TEST,1.9,515.2,82.8,0,5.57
TEST,2.0,509.94,82.3,0,5.57
TEST,1.9,518.34,82.8,0,5.57
TEST,1.9,525.43,82.3,0,5.57
TEST,2.0,512.46,82.8,0,5.57
TEST,1.9,527.63,82.8,0,5.57
TEST,1.9,514.95,82.8,0,5.57
TEST,1.9,527.45,82.8,0,5.57
TEST,1.9,527.79,82.8,0,5.57
TEST,1.9,521.99,82.8,0,5.57
TEST,1.9,515.83,83.3,0,5.57
TEST,1.9,527.38,82.8,0,5.57
TEST,1.9,518.11,82.8,0,5.57
TEST,1.9,519.41,81.8,0,5.57
TEST,1.9,515.33,82.3,0,5.57
TEST,1.9,521.21,82.3,0,5.57
TEST,1.9,521.29,82.8,0,5.57
TEST,1.9,521.89,83.3,0,5.57
TEST,1.9,515.99,83.3,0,5.57
TEST,1.9,522.53,81.8,0,5.57
TEST,1.9,530.01,83.3,0,5.57
TEST,1.9,527.19,82.3,0,5.57
TEST,1.9,523.92,80.8,0,5.57
TEST,1.9,518.04,82.8,0,5.57
TEST,1.9,521.25,81.8,0,5.57
TEST,1.9,524.38,82.8,0,5.57
TEST,1.9,518.35,83.8,0,5.57
TEST,1.9,520.48,83.3,0,5.57
TEST,1.9,515.84,83.3,0,5.57
TEST,1.9,518.86,83.3,0,5.57
TEST,1.9,518.9,81.8,0,5.57
TEST,1.9,515.18,82.3,0,5.57
TEST,1.9,519.87,83.3,0,5.57
TEST,1.9,526.84,82.3,0,5.57
TEST,1.9,526.22,83.3,0,5.57
TEST,1.9,518.92,82.3,0,5.57
TEST,1.9,513.46,82.8,0,5.57
TEST,1.9,537.97,82.3,0,5.57
TEST,2.0,512.68,82.8,0,5.57
TEST,1.9,521.58,83.3,0,5.57
TEST,1.9,518.99,83.8,0,5.57
TEST,1.9,532.69,82.8,0,5.57
TEST,1.9,524.75,82.8,0,5.57
TEST,1.9,526.48,82.8,0,5.57
TEST,1.9,522.58,82.8,0,5.57
TEST,1.9,523.9,82.8,0,5.57
TEST,1.9,520.05,81.8,0,5.57
TEST,1.9,528.36,82.3,0,5.57
TEST,1.9,527.46,82.8,0,5.57
TEST,1.9,528.72,82.8,0,5.57
TEST,1.9,524.68,82.8,0,5.57
TEST,1.9,531.4,83.3,0,5.57
TEST,1.9,525.64,83.3,0,5.57
TEST,1.9,527.01,82.3,0,5.57
TEST,1.9,526.52,81.8,0,5.57
TEST,1.9,523.58,82.8,0,5.57
TEST,1.9,513.64,83.8,0,5.57
TEST,1.9,523.23,83.3,0,5.57
TEST,1.9,528.32,82.3,0,5.57
TEST,1.9,524.36,82.3,0,5.57
TEST,1.9,516.78,83.3,0,5.57
TEST,1.9,535.71,82.3,0,5.57
TEST,1.9,521.93,83.3,0,5.57
